,Character ID,spells
613,29,[]
614,1,[]
615,2,[]
616,1,[]
617,2,[]
618,1,[]
619,3,[]
620,10,[]
621,3,[]
622,2,[]
623,3,[]
624,2,[]
625,1,[]
626,3,[]
627,2,[]
628,3,[]
629,2,[]
630,1,[]
631,3,[]
632,1,[]
633,5,[]
634,1,[]
635,3,[]
636,2,[]
637,5,[]
638,1,[]
639,5,[]
640,1,[]
641,5,[]
642,1,[]
643,5,[]
644,1,[]
645,3,[]
646,5,[]
647,1,[]
648,5,[]
649,2,[]
650,5,[]
651,3,[]
652,2,[]
653,5,[]
654,1,[]
655,5,[]
656,5,[]
657,1,[]
658,5,[]
659,1,[]
660,2,[]
661,1,[]
662,2,[]
663,7,[]
664,7,[]
665,1,[]
666,7,[]
667,12,[]
668,7,[]
669,35,[]
670,5,[]
671,3,[]
672,5,[]
673,35,[]
674,12,[]
675,35,[]
676,5,[]
677,1,[]
678,5,[]
679,2,[]
680,5,[]
681,12,[]
682,5,[]
683,12,[]
684,1,[]
685,12,[]
686,1,[]
687,12,[]
688,87,[]
689,1,[]
690,87,[]
691,1,[]
692,87,[]
693,1,[]
694,87,[]
695,1,[]
696,3,[]
697,5,[]
698,87,[]
699,3,[]
700,1,[]
701,2,[]
702,1,[]
703,2,[]
704,3,[]
705,3,[]
706,2,[]
707,1,[]
708,3,[]
709,1,[]
710,2,[]
711,1,[]
712,3,[]
713,1,[]
714,5,[]
715,1,[]
716,5,[]
717,1,[]
718,5,[]
719,5,[]
720,1,[]
721,7,[]
722,1,[]
723,7,[]
724,1,[]
725,7,[]
726,1,[]
727,3,[]
728,6,[]
729,3,[]
730,6,[]
731,3,[]
732,1,[]
733,1,[]
734,2,[]
735,10,[]
736,1,[]
737,10,[]
738,3,['Petrificus Totalus']
739,2,[]
740,1,[]
741,3,[]
742,2,[]
743,3,[]
744,2,[]
745,3,[]
746,2,[]
747,1,[]
748,2,[]
749,1,[]
750,2,[]
751,1,[]
752,3,[]
753,2,[]
754,1,[]
755,2,[]
756,1,[]
757,3,[]
758,2,[]
759,2,[]
760,1,[]
761,2,[]
762,3,[]
763,1,[]
764,3,[]
765,2,[]
766,2,[]
767,3,[]
768,1,[]
769,2,[]
770,3,[]
771,1,[]
772,2,[]
773,3,[]
774,1,[]
775,3,[]
776,2,[]
777,3,['Lumos Solem']
778,2,[]
779,1,[]
780,2,[]
781,1,[]
782,2,[]
783,1,[]
784,3,[]
785,1,[]
786,3,[]
787,1,[]
788,3,[]
789,1,[]
790,2,[]
791,3,[]
792,2,[]
793,1,[]
794,3,[]
795,1,[]
796,2,[]
797,2,[]
798,1,[]
799,2,[]
800,3,[]
801,1,[]
802,2,[]
803,1,[]
804,3,[]
805,2,[]
806,3,[]
807,2,[]
808,3,[]
809,2,[]
810,2,[]
811,1,[]
812,2,[]
813,1,[]
814,3,[]
815,1,[]
816,3,[]
817,2,[]
818,2,[]
819,2,[]
820,1,[]
821,3,[]
822,1,[]
823,3,[]
824,1,[]
825,41,[]
826,1,[]
827,41,[]
828,1,[]
829,41,[]
830,1,[]
831,41,[]
832,9,[]
833,41,[]
834,1,[]
835,9,[]
836,41,[]
837,9,[]
838,41,[]
839,9,[]
840,9,[]
841,1,[]
842,9,[]
843,9,[]
844,1,[]
845,9,[]
846,1,[]
847,9,[]
848,41,[]
849,9,[]
850,4,[]
851,1,[]
852,4,[]
853,1,[]
854,4,[]
855,1,[]
856,4,[]
857,1,[]
858,4,[]
859,1,[]
860,4,[]
861,1,[]
862,4,[]
863,1,[]
864,4,[]
865,1,[]
866,2,[]
867,1,[]
868,3,[]
869,4,[]
870,3,[]
871,4,[]
872,5,[]
873,29,[]
874,52,[]
875,5,[]
876,3,[]
877,1,[]
878,5,[]
879,1,[]
880,5,[]
881,1,[]
882,5,[]
883,3,[]
884,1,[]
